Timestamp,PM2_5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,AT_C,RH_Percent,WD_deg,BP_mmHg,Station
01-01-2019,66.2,121.35,47.16,80.22,81.01,13.74,8.5,1.38,86.96,0.1,0.46,17.83,48.55,117.64,721.82,BapujiNagar
02-01-2019,52.06,100.73,40.41,77.26,73.95,13.56,8,1.11,77.22,0.1,0.44,13.63,51.41,96.77,722.08,BapujiNagar
03-01-2019,54.24,109.91,55.26,79.76,87.36,14.58,9.07,1.35,72.68,0.1,0.48,15.51,48.98,107.53,722.59,BapujiNagar
04-01-2019,56.64,113.99,51.41,82.45,85.65,15.13,8.62,1.2,59.44,0.1,0.49,15.6,45.8,105.88,721.78,BapujiNagar
05-01-2019,50.48,101.07,40.47,82.87,76.98,15.03,8.19,1.2,74.76,0.1,0.44,18.16,49.89,102.56,720.62,BapujiNagar
06-01-2019,60.93,106.24,25.42,74.72,60.42,16.34,5.95,1.06,100.79,0.1,0.39,21.16,56.88,110.55,719.1,BapujiNagar
07-01-2019,64.51,127.58,46.3,84.49,82.58,15.19,8.88,1.46,87.57,0.1,0.51,21.38,54.99,131.34,718.47,BapujiNagar
08-01-2019,59.34,128.22,45.06,84.56,81.62,15.79,7.79,1.31,79.24,0.1,0.57,22.18,44.72,142.28,719.02,BapujiNagar
09-01-2019,64.46,128.73,37.58,88.54,77.65,17.02,11.87,1.34,90.54,0.1,0.53,21.96,41.29,117.83,720.86,BapujiNagar
10-01-2019,69.69,133.52,34.28,91.64,76.61,17.86,9.67,1.24,84.38,0.1,0.49,21.41,48.1,108.22,718.59,BapujiNagar
11-01-2019,68.27,137.76,43.35,87.93,82.03,17.68,9.7,1.47,84.83,0.1,0.57,21.73,51.2,138.49,719.46,BapujiNagar
12-01-2019,75.59,149.84,42.43,86.73,80.63,18.5,9.12,1.41,87.92,0.1,0.61,21.8,53.79,133.67,719.32,BapujiNagar
13-01-2019,60.43,111.94,31.17,74.12,64.37,16.61,10.6,1.06,66.59,0.1,0.46,17.66,53.16,114.6,719.56,BapujiNagar
14-01-2019,69.94,132.41,44.73,81.61,79.76,16.83,8.39,1.28,68.04,0.1,0.49,18.38,52.38,114.14,719,BapujiNagar
15-01-2019,55.15,110.54,46.37,81.19,81.02,15.98,9.39,1.14,78.93,0.1,0.47,19.15,32.39,108.22,719.52,BapujiNagar
16-01-2019,64.8,119.42,29.57,81.29,67.29,15.7,7.33,1.17,100.72,0.1,0.42,19.67,44.06,103.36,719.53,BapujiNagar
17-01-2019,67.28,137.69,39.89,88.09,78.27166667,17.175,6.58,1.43,80.44,0.1,0.51,20.06,49.53,125.94,718.42,BapujiNagar
18-01-2019,78.21,144.72,50.21,94.89,89.25333333,18.65,6.37,1.36,71.31,0.1,0.52,20.26,53.72,123.3,718.51,BapujiNagar
19-01-2019,68.05,132.31,60.53,101.69,100.235,20.125,6.62,1.29,64.5,0.1,0.52,20.61,45.44,118.07,719.33,BapujiNagar
